Judul,Link,Kategori,Tanggal Upload
"Survei Litbang Kompas: Kepuasan Publik ke Jokowi 73,9 Persen",https://www.cnnindonesia.com/nasional/20220221115306-32-761841/survei-litbang-kompas-kepuasan-publik-ke-jokowi-739-persen,Nasional,3 tahun yang lalu
Alasan Kartu BPJS Kesehatan Jadi Syarat Jual Beli Tanah Hingga SIM,https://www.cnnindonesia.com/ekonomi/20220221101128-78-761768/alasan-kartu-bpjs-kesehatan-jadi-syarat-jual-beli-tanah-hingga-sim,Ekonomi,3 tahun yang lalu
DPR: Instruksi Jokowi Kartu BPJS Jadi Syarat Beli Tanah Absurd,https://www.cnnindonesia.com/nasional/20220221093737-32-761748/dpr-instruksi-jokowi-kartu-bpjs-jadi-syarat-beli-tanah-absurd,Nasional,3 tahun yang lalu
Cara Cek Status BPJS Kesehatan yang Kini Jadi Syarat Bikin SIM,https://www.cnnindonesia.com/teknologi/20220221095742-185-761759/cara-cek-status-bpjs-kesehatan-yang-kini-jadi-syarat-bikin-sim,Teknologi,3 tahun yang lalu
"Instruksi Jokowi Soal BPJS Kesehatan Trending Topic, Netizen Bingung",https://www.cnnindonesia.com/teknologi/20220221082035-192-761716/instruksi-jokowi-soal-bpjs-kesehatan-trending-topic-netizen-bingung,Teknologi,3 tahun yang lalu
"JKP Pengganti JHT Bakal Meluncur Besok, 22 Februari 2022",https://www.cnnindonesia.com/ekonomi/20220221081146-78-761714/jkp-pengganti-jht-bakal-meluncur-besok-22-februari-2022,Ekonomi,3 tahun yang lalu
"Jokowi Tambah Syarat Bikin SIM dan STNK, Kini Butuh BPJS Kesehatan",https://www.cnnindonesia.com/otomotif/20220221070244-579-761696/jokowi-tambah-syarat-bikin-sim-dan-stnk-kini-butuh-bpjs-kesehatan,Otomotif,3 tahun yang lalu
Daftar Layanan Publik dengan Syarat Kartu BPJS Kesehatan,https://www.cnnindonesia.com/ekonomi/20220221070516-78-761698/daftar-layanan-publik-dengan-syarat-kartu-bpjs-kesehatan,Ekonomi,3 tahun yang lalu
"BPJS Jadi Syarat Urus SIM, STNK, Naik Haji, hingga Jual Beli Tanah",https://www.cnnindonesia.com/ekonomi/20220220082622-92-761468/bpjs-jadi-syarat-urus-sim-stnk-naik-haji-hingga-jual-beli-tanah,Ekonomi,3 tahun yang lalu
Warga Respons BPJS Kesehatan Jadi Syarat SIM: Malah Menghambat,https://www.cnnindonesia.com/nasional/20220219195218-20-761395/warga-respons-bpjs-kesehatan-jadi-syarat-sim-malah-menghambat,Nasional,3 tahun yang lalu
VIDEO: Polemik Kartu BPJS Kesehatan Jadi Syarat Jual Beli Tanah,https://www.cnnindonesia.com/tv/20220220194821-407-761633/video-polemik-kartu-bpjs-kesehatan-jadi-syarat-jual-beli-tanah,TV,3 tahun yang lalu
Hujan Kritik Buruh ke Menaker Ida Fauziyah soal JHT,https://www.cnnindonesia.com/ekonomi/20220220131356-92-761555/hujan-kritik-buruh-ke-menaker-ida-fauziyah-soal-jht,Ekonomi,3 tahun yang lalu
Warga Keberatan BPJS Jadi Syarat Umroh: Semakin Ribet Birokrasi,https://www.cnnindonesia.com/nasional/20220219203343-20-761401/warga-keberatan-bpjs-jadi-syarat-umroh-semakin-ribet-birokrasi,Nasional,3 tahun yang lalu
Warga soal Kartu BPJS Kesehatan buat Jual Beli Tanah: Tak Ada Kolerasi,https://www.cnnindonesia.com/nasional/20220219205205-20-761404/warga-soal-kartu-bpjs-kesehatan-buat-jual-beli-tanah-tak-ada-kolerasi,Nasional,3 tahun yang lalu
Janji Menaker: Mudah Cairkan JHT Cukup Pakai NIK,https://www.cnnindonesia.com/ekonomi/20220220093557-92-761486/janji-menaker-mudah-cairkan-jht-cukup-pakai-nik,Ekonomi,3 tahun yang lalu
Viral 'Valentino Rossi' Tunggu JHT Sampai Tua,https://www.cnnindonesia.com/olahraga/20220220080914-156-761462/viral-valentino-rossi-tunggu-jht-sampai-tua,Olahraga,3 tahun yang lalu
DPR Minta Batalkan Aturan Jual Beli Tanah Wajib Punya Kartu BPJS,https://www.cnnindonesia.com/nasional/20220219202720-32-761400/dpr-minta-batalkan-aturan-jual-beli-tanah-wajib-punya-kartu-bpjs,Nasional,3 tahun yang lalu
Said Iqbal Soal JHT Bentuk Sayang Pemerintah : Kasih Sayang Apanya?,https://www.cnnindonesia.com/nasional/20220219164010-20-761343/said-iqbal-soal-jht-bentuk-sayang-pemerintah-kasih-sayang-apanya,Nasional,3 tahun yang lalu
Menaker Sebut Pencairan JHT Kelak Lebih Mudah: Cukup Pakai NIK,https://www.cnnindonesia.com/ekonomi/20220219152902-92-761331/menaker-sebut-pencairan-jht-kelak-lebih-mudah-cukup-pakai-nik,Ekonomi,3 tahun yang lalu
DPR Tuding Pencairan Massal JHT Sekarang Bakal Ganggu Likuiditas BPJS,https://www.cnnindonesia.com/nasional/20220219150030-32-761325/dpr-tuding-pencairan-massal-jht-sekarang-bakal-ganggu-likuiditas-bpjs,Nasional,3 tahun yang lalu
"Warga Wajib Punya Kartu BPJS Kesehatan Urus SIM, STNK hingga Naik Haji",https://www.cnnindonesia.com/ekonomi/20220219134424-92-761312/warga-wajib-punya-kartu-bpjs-kesehatan-urus-sim-stnk-hingga-naik-haji,Ekonomi,3 tahun yang lalu
Presiden Buruh Duga Jokowi Sudah Kasih Lampu Hijau Permenaker JHT,https://www.cnnindonesia.com/nasional/20220219130413-20-761304/presiden-buruh-duga-jokowi-sudah-kasih-lampu-hijau-permenaker-jht,Nasional,3 tahun yang lalu
419 Ribu Orang Teken Petisi Tolak JHT Cair Usia 56 Tahun,https://www.cnnindonesia.com/ekonomi/20220219125412-92-761302/419-ribu-orang-teken-petisi-tolak-jht-cair-usia-56-tahun,Ekonomi,3 tahun yang lalu
Menyiapkan Dana JHT Pribadi,https://www.cnnindonesia.com/ekonomi/20220218061645-83-760745/menyiapkan-dana-jht-pribadi,Ekonomi,3 tahun yang lalu
"Mulai 1 Maret, Syarat Jual Beli Tanah Harus Punya BPJS",https://www.cnnindonesia.com/ekonomi/20220219065307-92-761262/mulai-1-maret-syarat-jual-beli-tanah-harus-punya-bpjs,Ekonomi,3 tahun yang lalu
BPJS Jadi Syarat Jual Beli Tanah Mulai 1 Maret 2022,https://www.cnnindonesia.com/ekonomi/20220218194149-92-761174/bpjs-jadi-syarat-jual-beli-tanah-mulai-1-maret-2022,Ekonomi,3 tahun yang lalu
Istana Minta Warga Tak Resah Tunggu Cair JHT 56 Tahun: Keuangan Kuat,https://www.cnnindonesia.com/nasional/20220218173908-32-761111/istana-minta-warga-tak-resah-tunggu-cair-jht-56-tahun-keuangan-kuat,Nasional,3 tahun yang lalu
Ida soal JKP: Pemerintah Menyengsarakan Diri Untuk Kebahagiaan Pekerja,https://www.cnnindonesia.com/ekonomi/20220218173446-92-761110/ida-soal-jkp-pemerintah-menyengsarakan-diri-untuk-kebahagiaan-pekerja,Ekonomi,3 tahun yang lalu
BPN: BPJS Jadi Syarat Jual Beli Tanah,https://www.cnnindonesia.com/ekonomi/20220218163213-92-761076/bpn-bpjs-jadi-syarat-jual-beli-tanah,Ekonomi,3 tahun yang lalu
"Simulasi JKP: Buruh Gaji Rp4 Juta Kena PHK Bisa Dapat Rp2,25 Juta",https://www.cnnindonesia.com/ekonomi/20220218141306-78-760990/simulasi-jkp-buruh-gaji-rp4-juta-kena-phk-bisa-dapat-rp225-juta,Ekonomi,3 tahun yang lalu
Hotman Paris ke Menaker soal JHT 56 Tahun: Di Mana Keadilannya Bu?,https://www.cnnindonesia.com/ekonomi/20220218124138-92-760946/hotman-paris-ke-menaker-soal-jht-56-tahun-di-mana-keadilannya-bu,Ekonomi,3 tahun yang lalu
"Suara Buruh soal JKP, Minta Birokrasi Pencairan Tak Berbelit",https://www.cnnindonesia.com/ekonomi/20220218102020-92-760877/suara-buruh-soal-jkp-minta-birokrasi-pencairan-tak-berbelit,Ekonomi,3 tahun yang lalu
Lima Alasan Buruh Tak Bisa Cairkan Jaminan Kehilangan Pekerjaan,https://www.cnnindonesia.com/ekonomi/20220218075122-78-760764/lima-alasan-buruh-tak-bisa-cairkan-jaminan-kehilangan-pekerjaan,Ekonomi,3 tahun yang lalu
Membandingkan Program JKP Negara-negara di Dunia,https://www.cnnindonesia.com/ekonomi/20220217145654-92-760518/membandingkan-program-jkp-negara-negara-di-dunia,Ekonomi,3 tahun yang lalu
"Setumpuk PR Pemerintah Benahi JKP, Calon Pengganti JHT",https://www.cnnindonesia.com/ekonomi/20220217200840-92-760689/setumpuk-pr-pemerintah-benahi-jkp-calon-pengganti-jht,Ekonomi,3 tahun yang lalu
Menaker Hormati Gugatan Buruh soal JHT ke Mahkamah Agung,https://www.cnnindonesia.com/ekonomi/20220217204049-92-760703/menaker-hormati-gugatan-buruh-soal-jht-ke-mahkamah-agung,Ekonomi,3 tahun yang lalu
Kejagung Timbang Kasus Dugaan Korupsi BPJS Naker dan Jiwasraya-ASABRI,https://www.cnnindonesia.com/nasional/20220217141404-12-760478/kejagung-timbang-kasus-dugaan-korupsi-bpjs-naker-dan-jiwasraya-asabri,Nasional,3 tahun yang lalu
Simulasi JHT Baru Kemnaker: Buruh Gaji Rp4 Juta Bisa Dapat Rp66 Juta,https://www.cnnindonesia.com/ekonomi/20220217141017-92-760470/simulasi-jht-baru-kemnaker-buruh-gaji-rp4-juta-bisa-dapat-rp66-juta,Ekonomi,3 tahun yang lalu
Syarat Dokumen Pencairan Jaminan Hari Tua Dipangkas,https://www.cnnindonesia.com/ekonomi/20220217121308-78-760384/syarat-dokumen-pencairan-jaminan-hari-tua-dipangkas,Ekonomi,3 tahun yang lalu
"Istana Bungkam, Lempar Polemik JHT ke Menaker Ida Fauziyah",https://www.cnnindonesia.com/nasional/20220217133553-32-760449/istana-bungkam-lempar-polemik-jht-ke-menaker-ida-fauziyah,Nasional,3 tahun yang lalu
"Investasi Dana JHT 2021 Capai Rp372,5 T, Mayoritas Ditanam di SUN",https://www.cnnindonesia.com/ekonomi/20220217114002-78-760365/investasi-dana-jht-2021-capai-rp3725-t-mayoritas-ditanam-di-sun,Ekonomi,3 tahun yang lalu
Kemnaker Klaim Manfaat JHT Cair di Usia 56 Tahun Lebih Besar,https://www.cnnindonesia.com/ekonomi/20220217095610-78-760318/kemnaker-klaim-manfaat-jht-cair-di-usia-56-tahun-lebih-besar,Ekonomi,3 tahun yang lalu
Rumus Buat JHT Sendiri di Perusahaan Asuransi dan DPLK,https://www.cnnindonesia.com/ekonomi/20220217061559-78-760252/rumus-buat-jht-sendiri-di-perusahaan-asuransi-dan-dplk,Ekonomi,3 tahun yang lalu
Said Iqbal Minta Direksi BPJS Ketenagakerjaan Dipenjara,https://www.cnnindonesia.com/nasional/20220216135126-20-759940/said-iqbal-minta-direksi-bpjs-ketenagakerjaan-dipenjara,Nasional,3 tahun yang lalu
VIDEO: Dirut BP Jamsostek Jelaskan Soal Pengelolaan Dana JHT,https://www.cnnindonesia.com/tv/20220216211606-407-760196/video-dirut-bp-jamsostek-jelaskan-soal-pengelolaan-dana-jht,TV,3 tahun yang lalu
Manfaat JKP Hilang Jika Buruh Tak Klaim Lebih dari 3 Bulan usai PHK,https://www.cnnindonesia.com/ekonomi/20220216141126-78-759955/manfaat-jkp-hilang-jika-buruh-tak-klaim-lebih-dari-3-bulan-usai-phk,Ekonomi,3 tahun yang lalu
Kemnaker: JHT Bisa Cair 100 Persen Hingga 3 Mei 2022,https://www.cnnindonesia.com/ekonomi/20220216170730-78-760085/kemnaker-jht-bisa-cair-100-persen-hingga-3-mei-2022,Ekonomi,3 tahun yang lalu
Petisi Batalkan Aturan JHT Cair Usia 56 Tahun Diteken 404 Ribu Orang,https://www.cnnindonesia.com/ekonomi/20220216162152-92-760053/petisi-batalkan-aturan-jht-cair-usia-56-tahun-diteken-404-ribu-orang,Ekonomi,3 tahun yang lalu
3 Manfaat yang Diterima dari Jaminan Kehilangan Pekerjaan,https://www.cnnindonesia.com/ekonomi/20220216135740-78-759945/3-manfaat-yang-diterima-dari-jaminan-kehilangan-pekerjaan,Ekonomi,3 tahun yang lalu
VIDEO: Hari Ini Buruh Demo Copot Menaker Dan Cabut Permenaker JHT,https://www.cnnindonesia.com/tv/20220216142621-407-759965/video-hari-ini-buruh-demo-copot-menaker-dan-cabut-permenaker-jht,TV,3 tahun yang lalu
5 Syarat Pekerja Terima Manfaat Jaminan Kehilangan Pekerjaan,https://www.cnnindonesia.com/ekonomi/20220216134009-78-759935/5-syarat-pekerja-terima-manfaat-jaminan-kehilangan-pekerjaan,Ekonomi,3 tahun yang lalu
Buruh Teriak Minta KPK dan DPR Turun Tangan Usut JHT,https://www.cnnindonesia.com/nasional/20220216132322-20-759920/buruh-teriak-minta-kpk-dan-dpr-turun-tangan-usut-jht,Nasional,3 tahun yang lalu
Said Iqbal: Menteri Ketenagakerjaan Melawan Presiden,https://www.cnnindonesia.com/nasional/20220216115526-32-759833/said-iqbal-menteri-ketenagakerjaan-melawan-presiden,Nasional,3 tahun yang lalu
KSPI Akan Gugat Permenaker Pencairan JHT 56 Tahun,https://www.cnnindonesia.com/nasional/20220216114616-12-759826/kspi-akan-gugat-permenaker-pencairan-jht-56-tahun,Nasional,3 tahun yang lalu
"Aturan JHT Cair Usia 56 Tahun: Dicabut Jokowi, Dihidupkan Ida Fauziyah",https://www.cnnindonesia.com/nasional/20220216114008-32-759824/aturan-jht-cair-usia-56-tahun-dicabut-jokowi-dihidupkan-ida-fauziyah,Nasional,3 tahun yang lalu
"Selain DKI, Demo Buruh Tolak JHT Digelar di Jatim hingga NTB",https://www.cnnindonesia.com/nasional/20220216104909-20-759794/selain-dki-demo-buruh-tolak-jht-digelar-di-jatim-hingga-ntb,Nasional,3 tahun yang lalu
800 Aparat Gabungan Diterjunkan Kawal Demo Buruh di Kemnaker,https://www.cnnindonesia.com/nasional/20220216105456-20-759797/800-aparat-gabungan-diterjunkan-kawal-demo-buruh-di-kemnaker,Nasional,3 tahun yang lalu
"Demo Buruh di Kemnaker, Pengalihan Arus Lalin Situasional",https://www.cnnindonesia.com/nasional/20220216095630-12-759769/demo-buruh-di-kemnaker-pengalihan-arus-lalin-situasional,Nasional,3 tahun yang lalu
Demo Buruh soal JHT di Kemnaker Tak Diberi Pengamanan Khusus,https://www.cnnindonesia.com/nasional/20220216075502-20-759710/demo-buruh-soal-jht-di-kemnaker-tak-diberi-pengamanan-khusus,Nasional,3 tahun yang lalu
"Sangat Dibutuhkan Buruh, Segera Cabut Aturan JHT Cair 56 Tahun",https://www.cnnindonesia.com/ekonomi/20220216065222-78-759698/sangat-dibutuhkan-buruh-segera-cabut-aturan-jht-cair-56-tahun,Ekonomi,3 tahun yang lalu
Staf Menaker Jawab DPR soal Tak Diajak Bicara JHT: Ada Notulen Rapat,https://www.cnnindonesia.com/ekonomi/20220215195707-92-759615/staf-menaker-jawab-dpr-soal-tak-diajak-bicara-jht-ada-notulen-rapat,Ekonomi,3 tahun yang lalu
"JHT Cair Usia 56 Tahun, Berikut Cara Cek Saldo JHT Via Hp dan Laptop",https://www.cnnindonesia.com/teknologi/20220215101244-185-759279/jht-cair-usia-56-tahun-berikut-cara-cek-saldo-jht-via-hp-dan-laptop,Teknologi,3 tahun yang lalu
Tips Bagi Pekerja Membuat Jaminan Hari Tua Sendiri,https://www.cnnindonesia.com/ekonomi/20220216061100-92-759686/tips-bagi-pekerja-membuat-jaminan-hari-tua-sendiri,Ekonomi,3 tahun yang lalu
Buruh Demo JHT di Kantor Kemnaker-BPJS Ketenagakerjaan Hari Ini,https://www.cnnindonesia.com/nasional/20220216060547-20-759685/buruh-demo-jht-di-kantor-kemnaker-bpjs-ketenagakerjaan-hari-ini,Nasional,3 tahun yang lalu
"Seribu Buruh Geruduk Kemnaker Besok, Desak Aturan JHT Dicabut",https://www.cnnindonesia.com/nasional/20220215202652-20-759627/seribu-buruh-geruduk-kemnaker-besok-desak-aturan-jht-dicabut,Nasional,3 tahun yang lalu
Aset JHT yang Dikelola BPJS Ketenagakerjaan Naik 9 Persen Jadi Rp346 T,https://www.cnnindonesia.com/ekonomi/20220215203105-78-759629/aset-jht-yang-dikelola-bpjs-ketenagakerjaan-naik-9-persen-jadi-rp346-t,Ekonomi,3 tahun yang lalu
Kejagung Masih Usut Dugaan Korupsi Dana Investasi BPJS Naker,https://www.cnnindonesia.com/nasional/20220215144634-12-759442/kejagung-masih-usut-dugaan-korupsi-dana-investasi-bpjs-naker,Nasional,3 tahun yang lalu
Nyaris 400 Ribu Orang Teken Petisi Tolak JHT Cair Usia 56 Tahun,https://www.cnnindonesia.com/ekonomi/20220215195100-92-759612/nyaris-400-ribu-orang-teken-petisi-tolak-jht-cair-usia-56-tahun,Ekonomi,3 tahun yang lalu
"Eks Pengawas BPJS soal Aturan Baru JHT: Mohon Maaf, Kayak Ponzi",https://www.cnnindonesia.com/ekonomi/20220215185121-92-759594/eks-pengawas-bpjs-soal-aturan-baru-jht-mohon-maaf-kayak-ponzi,Ekonomi,3 tahun yang lalu
VIDEO: Besok Buruh Demo Tuntut JHT Dan Menaker Dicopot,https://www.cnnindonesia.com/tv/20220215162859-407-759505/video-besok-buruh-demo-tuntut-jht-dan-menaker-dicopot,TV,3 tahun yang lalu
VIDEO: Fakta JHT Tidak Bisa Dicairkan Sebelum Usia 56 Tahun,https://www.cnnindonesia.com/tv/20220215164333-405-759520/video-fakta-jht-tidak-bisa-dicairkan-sebelum-usia-56-tahun,TV,3 tahun yang lalu
"Hasil Investasi JHT 2020 Lalu Tembus Rp22,96 Triliun",https://www.cnnindonesia.com/ekonomi/20220215161443-78-759496/hasil-investasi-jht-2020-lalu-tembus-rp2296-triliun,Ekonomi,3 tahun yang lalu
BPJS Watch Kritik Pekerja Kontrak Sulit Akses JKP,https://www.cnnindonesia.com/ekonomi/20220215143822-78-759436/bpjs-watch-kritik-pekerja-kontrak-sulit-akses-jkp,Ekonomi,3 tahun yang lalu
KSPI Resmi Surati Jokowi Minta Cabut Aturan JHT Cair Usia 56 Tahun,https://www.cnnindonesia.com/ekonomi/20220215150411-92-759458/kspi-resmi-surati-jokowi-minta-cabut-aturan-jht-cair-usia-56-tahun,Ekonomi,3 tahun yang lalu
"JHT Cair Usia 56 Tahun, #CabutPermenJHT56Tahun Menggema",https://www.cnnindonesia.com/teknologi/20211021121914-192-710392/jht-cair-usia-56-tahun-cabutpermenjht56tahun-menggema,Teknologi,3 tahun yang lalu
"Krisdayanti: JHT Tak Menyimpang, Tapi Waktunya Kurang Tepat",https://www.cnnindonesia.com/nasional/20220215130422-32-759375/krisdayanti-jht-tak-menyimpang-tapi-waktunya-kurang-tepat,Nasional,3 tahun yang lalu
Buruh Curiga Dana JHT 'Kosong' sehingga Baru Cair Usia 56 Tahun,https://www.cnnindonesia.com/ekonomi/20220215124055-92-759370/buruh-curiga-dana-jht-kosong-sehingga-baru-cair-usia-56-tahun,Ekonomi,3 tahun yang lalu
VIDEO: Polemik Pencairan JHT Usia 56 Tahun,https://www.cnnindonesia.com/tv/20220215091343-400-759254/video-polemik-pencairan-jht-usia-56-tahun,TV,3 tahun yang lalu
Tiga Manfaat JHT Cair Saat Usia 56 Tahun versi Airlangga,https://www.cnnindonesia.com/ekonomi/20220215115538-532-759346/tiga-manfaat-jht-cair-saat-usia-56-tahun-versi-airlangga,Ekonomi,3 tahun yang lalu
Menaker Ungkap Hak Buruh Kontrak Usai Aturan Jaminan Hari Tua Direvisi,https://www.cnnindonesia.com/ekonomi/20220215103229-92-759297/menaker-ungkap-hak-buruh-kontrak-usai-aturan-jaminan-hari-tua-direvisi,Ekonomi,3 tahun yang lalu
Alasan Pekerja Butuh JHT,https://www.cnnindonesia.com/ekonomi/20220215091638-78-759255/alasan-pekerja-butuh-jht,Ekonomi,3 tahun yang lalu
Oposisi-Koalisi Bersatu Kritik JHT Cair Usia 56 Tahun,https://www.cnnindonesia.com/nasional/20220215110159-32-759322/oposisi-koalisi-bersatu-kritik-jht-cair-usia-56-tahun,Nasional,3 tahun yang lalu
2 Cara Cetak Kartu BPJS Kesehatan yang Hilang secara Online,https://www.cnnindonesia.com/ekonomi/20220211103757-83-757903/2-cara-cetak-kartu-bpjs-kesehatan-yang-hilang-secara-online,Ekonomi,3 tahun yang lalu
Tepatkah JKP Gantikan JHT Jadi 'Bantalan' usai Pekerja Kena PHK?,https://www.cnnindonesia.com/ekonomi/20220215093841-78-759273/tepatkah-jkp-gantikan-jht-jadi-bantalan-usai-pekerja-kena-phk,Ekonomi,3 tahun yang lalu
Opsi Hukum Batalkan Aturan JHT Cair Usia 56 Tahun: Gugat ke MA,https://www.cnnindonesia.com/nasional/20220215085530-12-759249/opsi-hukum-batalkan-aturan-jht-cair-usia-56-tahun-gugat-ke-ma,Nasional,3 tahun yang lalu
"Cara Cek Saldo JHT Via Website, Aplikasi JMO atau SMS",https://www.cnnindonesia.com/teknologi/20220215063756-185-759208/cara-cek-saldo-jht-via-website-aplikasi-jmo-atau-sms,Teknologi,3 tahun yang lalu
"Pengusaha soal JHT Cair di Usia 56: Bagus, Bekal di Hari Tua",https://www.cnnindonesia.com/ekonomi/20220214194930-92-759140/pengusaha-soal-jht-cair-di-usia-56-bagus-bekal-di-hari-tua,Ekonomi,3 tahun yang lalu
Buruh Sumut soal Aturan Baru JHT: Pemerintah Tak Bosan Menindas Buruh?,https://www.cnnindonesia.com/ekonomi/20220214181923-92-759102/buruh-sumut-soal-aturan-baru-jht-pemerintah-tak-bosan-menindas-buruh,Ekonomi,3 tahun yang lalu
Aturan JHT Cair Usia 56 Tahun Digugat ke Mahkamah Agung,https://www.cnnindonesia.com/nasional/20220214183147-12-759111/aturan-jht-cair-usia-56-tahun-digugat-ke-mahkamah-agung,Nasional,3 tahun yang lalu
Golkar Ungkap 3 Alasan Dukung Aturan Baru JHT Cair Usia 56 Tahun,https://www.cnnindonesia.com/nasional/20220214165454-37-759053/golkar-ungkap-3-alasan-dukung-aturan-baru-jht-cair-usia-56-tahun,Nasional,3 tahun yang lalu
Airlangga Blak-blakan soal JHT dan JKP,https://www.cnnindonesia.com/ekonomi/20220214164013-532-759042/airlangga-blak-blakan-soal-jht-dan-jkp,Ekonomi,3 tahun yang lalu
"Aturan JHT Diprotes, Menaker Ida Diduga Batasi Komentar Instagram",https://www.cnnindonesia.com/teknologi/20220214154035-192-759017/aturan-jht-diprotes-menaker-ida-diduga-batasi-komentar-instagram,Teknologi,3 tahun yang lalu
"Tolak Aturan Baru JHT, Ribuan Buruh Jatim Bakal Demo",https://www.cnnindonesia.com/ekonomi/20220214135716-92-758948/tolak-aturan-baru-jht-ribuan-buruh-jatim-bakal-demo,Ekonomi,3 tahun yang lalu
Gerindra Minta Menaker Cabut Aturan Pencairan JHT di Usia 56 Tahun,https://www.cnnindonesia.com/nasional/20220214145459-32-758985/gerindra-minta-menaker-cabut-aturan-pencairan-jht-di-usia-56-tahun,Nasional,3 tahun yang lalu
Buruh Surati Jokowi Minta Batalkan JHT Cair Saat Usia 56 Tahun,https://www.cnnindonesia.com/ekonomi/20220214142356-92-758975/buruh-surati-jokowi-minta-batalkan-jht-cair-saat-usia-56-tahun,Ekonomi,3 tahun yang lalu
Buruh Bakal Geruduk Kantor Menaker Tuntut Cabut Aturan Baru JHT,https://www.cnnindonesia.com/nasional/20220214125448-20-758911/buruh-bakal-geruduk-kantor-menaker-tuntut-cabut-aturan-baru-jht,Nasional,3 tahun yang lalu
Cara Cairkan JHT 'Full' Sebelum Aturan Baru Berlaku Mei,https://www.cnnindonesia.com/ekonomi/20220214123922-78-758903/cara-cairkan-jht-full-sebelum-aturan-baru-berlaku-mei,Ekonomi,3 tahun yang lalu
"Polemik JHT, Beda Dulu dan Sekarang",https://www.cnnindonesia.com/ekonomi/20220214103757-78-758847/polemik-jht-beda-dulu-dan-sekarang,Ekonomi,3 tahun yang lalu
Strategi 'Hero' Jokowi di Tengah Polemik Pencairan JHT 56 Tahun,https://www.cnnindonesia.com/nasional/20220214104114-32-758841/strategi-hero-jokowi-di-tengah-polemik-pencairan-jht-56-tahun,Nasional,3 tahun yang lalu
327.369 Orang Sudah Teken Petisi Tolak JHT Cair di Usia 56 Tahun,https://www.cnnindonesia.com/ekonomi/20220214082116-92-758780/327369-orang-sudah-teken-petisi-tolak-jht-cair-di-usia-56-tahun,Ekonomi,3 tahun yang lalu
VIDEO: Gaduh Pencairan Dana JHT,https://www.cnnindonesia.com/tv/20220213181235-410-758653/video-gaduh-pencairan-dana-jht,TV,3 tahun yang lalu
ASPEK Tuding Pemerintah Jokowi dan BPJS Arogan soal Aturan Dana JHT,https://www.cnnindonesia.com/ekonomi/20220213170537-78-758648/aspek-tuding-pemerintah-jokowi-dan-bpjs-arogan-soal-aturan-dana-jht,Ekonomi,3 tahun yang lalu
Serikat Pekerja Tekstil Tolak Aturan Dana JHT Cair Usia 56 Tahun,https://www.cnnindonesia.com/ekonomi/20220213131154-92-758581/serikat-pekerja-tekstil-tolak-aturan-dana-jht-cair-usia-56-tahun,Ekonomi,3 tahun yang lalu
Dana JHT Bisa Cair 100 Persen Sebelum Mei 2022,https://www.cnnindonesia.com/ekonomi/20220213084845-78-758517/dana-jht-bisa-cair-100-persen-sebelum-mei-2022,Ekonomi,3 tahun yang lalu
PAN Kritisi Payung Hukum JKP Pengganti JHT: UU Ciptaker Berlaku?,https://www.cnnindonesia.com/nasional/20220212201055-32-758446/pan-kritisi-payung-hukum-jkp-pengganti-jht-uu-ciptaker-berlaku,Nasional,3 tahun yang lalu
Cara Mencairkan Sebagian Dana JHT Sebelum Usia 56 Tahun,https://www.cnnindonesia.com/ekonomi/20220213075008-78-758511/cara-mencairkan-sebagian-dana-jht-sebelum-usia-56-tahun,Ekonomi,3 tahun yang lalu
241.195 Orang Teken Petisi Tolak JHT Cair di Usia 56 Tahun,https://www.cnnindonesia.com/ekonomi/20220213071959-78-758500/241195-orang-teken-petisi-tolak-jht-cair-di-usia-56-tahun,Ekonomi,3 tahun yang lalu
Pro-Kontra Aturan Baru JHT Bisa Cair Saat Usia 56 Tahun,https://www.cnnindonesia.com/nasional/20220213070724-20-758499/pro-kontra-aturan-baru-jht-bisa-cair-saat-usia-56-tahun,Nasional,3 tahun yang lalu
Pakar: Permenaker JHT Bentuk Penyelundupan Hukum,https://www.cnnindonesia.com/nasional/20220212203534-20-758451/pakar-permenaker-jht-bentuk-penyelundupan-hukum,Nasional,3 tahun yang lalu
PAN: Buruh Tak Mungkin Ribut Jika Aturan Baru JHT Dikonsultasikan Dulu,https://www.cnnindonesia.com/nasional/20220212183844-32-758430/pan-buruh-tak-mungkin-ribut-jika-aturan-baru-jht-dikonsultasikan-dulu,Nasional,3 tahun yang lalu
BPJS Watch Minta Buruh Pelajari Aturan Baru JHT: Selama Ini Salah,https://www.cnnindonesia.com/ekonomi/20220212164628-78-758409/bpjs-watch-minta-buruh-pelajari-aturan-baru-jht-selama-ini-salah,Ekonomi,3 tahun yang lalu
VIDEO: Bantu Bocah di Sumbar yang Napas dari Lubang Tenggorokan,https://www.cnnindonesia.com/gaya-hidup/20220212162057-288-758396/video-bantu-bocah-di-sumbar-yang-napas-dari-lubang-tenggorokan,Gaya Hidup,3 tahun yang lalu
DPR Akui Belum Diajak Kemnaker Bahas Perubahan Aturan JHT,https://www.cnnindonesia.com/nasional/20220212175751-32-758421/dpr-akui-belum-diajak-kemnaker-bahas-perubahan-aturan-jht,Nasional,3 tahun yang lalu
"KSPI Desak Jokowi Pecat Menaker Ida, Buntut JHT Cair di Usia 56 Tahun",https://www.cnnindonesia.com/ekonomi/20220212170541-92-758415/kspi-desak-jokowi-pecat-menaker-ida-buntut-jht-cair-di-usia-56-tahun,Ekonomi,3 tahun yang lalu
