Judul;Link;Tanggal
BPJS Kesehatan temukan fraud Program JKN, capai Rp866 miliar tahun ini;https://www.antaranews.com/berita/3860139/bpjs-kesehatan-temukan-fraud-program-jkn-capai-rp866-miliar-tahun-ini;7 Desember 2023
BPJS Kesehatan perkuat ekosistem anti-fraud guna cegah kecurangan;https://www.antaranews.com/berita/3859995/bpjs-kesehatan-perkuat-ekosistem-anti-fraud-guna-cegah-kecurangan;7 Desember 2023
Menkes: Penggunaan fasilitas RSUP Ben Mboi tunggu izin BPJS Kesehatan;https://www.antaranews.com/berita/3858381/menkes-penggunaan-fasilitas-rsup-ben-mboi-tunggu-izin-bpjs-kesehatan;6 Desember 2023
BPJS Kesehatan berikan penghargaan bagi pendukung transformasi digital;https://www.antaranews.com/berita/3854457/bpjs-kesehatan-berikan-penghargaan-bagi-pendukung-transformasi-digital;4 Desember 2023
Pemkab Bandung berikan jaminan BPJS kepada petugas Pemilu 2024;https://www.antaranews.com/berita/3853221/pemkab-bandung-berikan-jaminan-bpjs-kepada-petugas-pemilu-2024;3 Desember 2023
BPJS Ketenagakerjaan Palembang tingkatkan penggunaan aplikasi JMO;https://www.antaranews.com/berita/3842586/bpjs-ketenagakerjaan-palembang-tingkatkan-penggunaan-aplikasi-jmo;27 November 2023
BPJS Kesehatan Bandarlampung maķsimalkan layanan lewat BPJS keliling;https://www.antaranews.com/berita/3839676/bpjs-kesehatan-bandarlampung-masimalkan-layanan-lewat-bpjs-keliling;24 November 2023
KPU Biak lindungi penyelenggara pemilu dengan BPJS Ketenagakerjaan;https://www.antaranews.com/berita/3839421/kpu-biak-lindungi-penyelenggara-pemilu-dengan-bpjs-ketenagakerjaan;24 November 2023
BPJS Kesehatan optimalkan teknologi digital guna tingkatkan layanan;https://www.antaranews.com/berita/3837516/bpjs-kesehatan-optimalkan-teknologi-digital-guna-tingkatkan-layanan;23 November 2023
Wakil Ketua MPR imbau masyarakat manfaatkan BPJS dengan baik;https://www.antaranews.com/berita/3836979/wakil-ketua-mpr-imbau-masyarakat-manfaatkan-bpjs-dengan-baik;23 November 2023
Petugas Pemilu 2024 bakal dapat perlindungan BPJS Kesehatan;https://www.antaranews.com/berita/3831960/petugas-pemilu-2024-bakal-dapat-perlindungan-bpjs-kesehatan;20 November 2023
BPJS Kesehatan integrasikan layanan pada program sentralisasi;https://www.antaranews.com/berita/3826833/bpjs-kesehatan-integrasikan-layanan-pada-program-sentralisasi;16 November 2023
BPJS akan fokuskan pada alkes yang efektif dari segi harga;https://www.antaranews.com/berita/3817392/bpjs-akan-fokuskan-pada-alkes-yang-efektif-dari-segi-harga;10 November 2023
Puluhan delegasi JLN pelajari program JKN BPJS Kesehatan;https://www.antaranews.com/video/3813744/puluhan-delegasi-jln-pelajari-program-jkn-bpjs-kesehatan;8 November 2023
Dirut BPJS Kesehatan: Pasien cacar monyet ditanggung BPJS;https://www.antaranews.com/video/3813672/dirut-bpjs-kesehatan-pasien-cacar-monyet-ditanggung-bpjs;8 November 2023
BPJS Kesehatan jadi destinasi delegasi asing pelajari Program JKN;https://www.antaranews.com/berita/3813222/bpjs-kesehatan-jadi-destinasi-delegasi-asing-pelajari-program-jkn;8 November 2023
BPJS Kesehatan: Cakupan kepesertaan nasional capai 95,7 persen;https://www.antaranews.com/berita/3811935/bpjs-kesehatan-cakupan-kepesertaan-nasional-capai-957-persen;7 November 2023
1.922 petugas KPU Kapuas Hulu dijamin BPJS Ketenagakerjaan;https://www.antaranews.com/berita/3810726/1922-petugas-kpu-kapuas-hulu-dijamin-bpjs-ketenagakerjaan;7 November 2023
Pemprov dan DPR Aceh diminta tuntaskan iuran jaminan kesehatan ke BPJS;https://www.antaranews.com/berita/3810030/pemprov-dan-dpr-aceh-diminta-tuntaskan-iuran-jaminan-kesehatan-ke-bpjs;6 November 2023
Presiden “groundbreaking” kantor BPJS Ketenagakerjaan di IKN;https://www.antaranews.com/berita/3804438/presiden-groundbreaking-kantor-bpjs-ketenagakerjaan-di-ikn;2 November 2023
BPJS Kesehatan optimalkan layanan dengan teknologi VSAT dan Cloud;https://www.antaranews.com/berita/3804327/bpjs-kesehatan-optimalkan-layanan-dengan-teknologi-vsat-dan-cloud;2 November 2023
BPJS Kesehatan fokus tingkatkan mutu layanan pada sepuluh tahun JKN;https://www.antaranews.com/berita/3803214/bpjs-kesehatan-fokus-tingkatkan-mutu-layanan-pada-sepuluh-tahun-jkn;1 November 2023
BPJS Kesehatan berupaya tuntaskan 1.389.295 orang lagi jadi peserta;https://www.antaranews.com/berita/3803166/bpjs-kesehatan-berupaya-tuntaskan-1389295-orang-lagi-jadi-peserta;1 November 2023
BPJS Kesehatan berikan penghargaan kepada 20 jurnalis;https://www.antaranews.com/berita/3801888/bpjs-kesehatan-berikan-penghargaan-kepada-20-jurnalis;1 November 2023
BPJS Kesehatan-Pemkab Merauke kerja sama terkait pemenuhan DBTFMS;https://www.antaranews.com/berita/3793302/bpjs-kesehatan-pemkab-merauke-kerja-sama-terkait-pemenuhan-dbtfms;26 Oktober 2023
BPJS Ketenagakerjaan edukasi program JKK dan JKM ke warga Cinere;https://www.antaranews.com/berita/3787245/bpjs-ketenagakerjaan-edukasi-program-jkk-dan-jkm-ke-warga-cinere;23 Oktober 2023
Dirut BPJS Kesehatan beri kuliah umum mahasiswa Kedokteran Unri;https://www.antaranews.com/berita/3776319/dirut-bpjs-kesehatan-beri-kuliah-umum-mahasiswa-kedokteran-unri;16 Oktober 2023
"BPJS Kesehatan kelola sumber daya pegawai lewat pendekatan ""hi-touch""";https://www.antaranews.com/berita/3773532/bpjs-kesehatan-kelola-sumber-daya-pegawai-lewat-pendekatan-hi-touch;14 Oktober 2023
"RevComn dukung sentralisasi layanan BPJS dengan sistem ""MiiTel""";https://www.antaranews.com/berita/3772980/revcomn-dukung-sentralisasi-layanan-bpjs-dengan-sistem-miitel;13 Oktober 2023
BPJS Kesehatan selenggarakan layanan RS Kapal Apung di Maluku;https://www.antaranews.com/berita/3764070/bpjs-kesehatan-selenggarakan-layanan-rs-kapal-apung-di-maluku;9 Oktober 2023
BPJS Ketenagakerjaan jamin pendidikan di Riau dengan beasiswa Rp10 M;https://www.antaranews.com/berita/3761808/bpjs-ketenagakerjaan-jamin-pendidikan-di-riau-dengan-beasiswa-rp10-m;7 Oktober 2023
BPJS Kesehatan luncurkan program Sentralisasi Layanan Kepesertaan;https://www.antaranews.com/berita/3760275/bpjs-kesehatan-luncurkan-program-sentralisasi-layanan-kepesertaan;6 Oktober 2023
Kemenko PMK: BPJS perlu berinovasi tuntaskan 3,8 persen target JKN;https://www.antaranews.com/berita/3760215/kemenko-pmk-bpjs-perlu-berinovasi-tuntaskan-38-persen-target-jkn;6 Oktober 2023
Kemenkes dorong penggunaan fitofarmaka ditanggung BPJS Kesehatan;https://www.antaranews.com/berita/3759291/kemenkes-dorong-penggunaan-fitofarmaka-ditanggung-bpjs-kesehatan;5 Oktober 2023
BPJS Kesehatan sebut 262,74 juta jiwa jadi peserta JKN;https://www.antaranews.com/berita/3753729/bpjs-kesehatan-sebut-26274-juta-jiwa-jadi-peserta-jkn;2 Oktober 2023
Menkes apresiasi BPJS dalam mencakup 94,6 persen masyarakat Indonesia;https://www.antaranews.com/berita/3753273/menkes-apresiasi-bpjs-dalam-mencakup-946-persen-masyarakat-indonesia;2 Oktober 2023
BPJS Kesehatan kolaborasi wujudkan transformasi mutu layanan JKN;https://www.antaranews.com/video/3752739/bpjs-kesehatan-kolaborasi-wujudkan-transformasi-mutu-layanan-jkn;2 Oktober 2023
BPJS Kesehatan berikan penghargaan kepada fasilitas kesehatan;https://www.antaranews.com/berita/3752784/bpjs-kesehatan-berikan-penghargaan-kepada-fasilitas-kesehatan;2 Oktober 2023
Dirut BPJS ingatkan pelaku usaha kesehatan agar tidak hanya cari cuan;https://www.antaranews.com/berita/3752649/dirut-bpjs-ingatkan-pelaku-usaha-kesehatan-agar-tidak-hanya-cari-cuan;2 Oktober 2023
BPJS Kesehatan luncurkan loket pelayanan informasi di RSUD Meuraxa;https://www.antaranews.com/berita/3749430/bpjs-kesehatan-luncurkan-loket-pelayanan-informasi-di-rsud-meuraxa;29 September 2023
BPJS Kesehatan bangun loket pelayanan informasi di RSMH Palembang;https://www.antaranews.com/berita/3749397/bpjs-kesehatan-bangun-loket-pelayanan-informasi-di-rsmh-palembang;29 September 2023
Sekitar 3.000 nelayan di Pasaman Barat ikut BPJS Ketenagakerjaan;https://www.antaranews.com/berita/3748989/sekitar-3000-nelayan-di-pasaman-barat-ikut-bpjs-ketenagakerjaan;29 September 2023
BPJS Kesehatan luncurkan loket pelayanan informasi di RS Undata Palu;https://www.antaranews.com/berita/3748959/bpjs-kesehatan-luncurkan-loket-pelayanan-informasi-di-rs-undata-palu;29 September 2023
Ombudsman NTT minta BPJS Kesehatan Rote Ndao evaluasi layanan faskes;https://www.antaranews.com/berita/3747540/ombudsman-ntt-minta-bpjs-kesehatan-rote-ndao-evaluasi-layanan-faskes;28 September 2023
BPJS Kesehatan: Kepatuhan iuran dipengaruhi faktor kemauan membayar;https://www.antaranews.com/berita/3746556/bpjs-kesehatan-kepatuhan-iuran-dipengaruhi-faktor-kemauan-membayar;27 September 2023
BPJS: Puskesmas perlu punya strategi untuk serap anggaran lebih baik;https://www.antaranews.com/berita/3746322/bpjs-puskesmas-perlu-punya-strategi-untuk-serap-anggaran-lebih-baik;27 September 2023
Kemenkes mewajibkan kepesertaan BPJS bagi masyarakat adat;https://www.antaranews.com/berita/3745197/kemenkes-mewajibkan-kepesertaan-bpjs-bagi-masyarakat-adat;26 September 2023
DJSN nilai kinerja BPJS Kesehatan secara umum sudah baik;https://www.antaranews.com/berita/3745083/djsn-nilai-kinerja-bpjs-kesehatan-secara-umum-sudah-baik;26 September 2023
BPJS Kesehatan: Setiap warga negara berhak terlindungi JKN;https://www.antaranews.com/berita/3742557/bpjs-kesehatan-setiap-warga-negara-berhak-terlindungi-jkn;25 September 2023
600 petani di Gianyar ikut BPJS ketenagakerjaan;https://www.antaranews.com/berita/3741552/600-petani-di-gianyar-ikut-bpjs-ketenagakerjaan;24 September 2023
238 nelayan di Padang telah terdaftar BPJS Ketenagakerjaan;https://www.antaranews.com/video/3740112/238-nelayan-di-padang-telah-terdaftar-bpjs-ketenagakerjaan;23 September 2023
BPJS Kesehatan Manado mudahkan peserta lewat 'Mobile Costumer Service';https://www.antaranews.com/berita/3740163/bpjs-kesehatan-manado-mudahkan-peserta-lewat-mobile-costumer-service;23 September 2023
Faskes yang terapkan digitalisasi pelayanan diapresiasi BPJS Kesehatan;https://www.antaranews.com/berita/3739449/faskes-yang-terapkan-digitalisasi-pelayanan-diapresiasi-bpjs-kesehatan;22 September 2023
BPJS Kesehatan reaktivasi 270 ribu peserta JKN via aplikasi Rehab;https://www.antaranews.com/berita/3737376/bpjs-kesehatan-reaktivasi-270-ribu-peserta-jkn-via-aplikasi-rehab;21 September 2023
Aplikasi mobile JKN permudah urusan peserta BPJS Kesehatan;https://www.antaranews.com/berita/3733935/aplikasi-mobile-jkn-permudah-urusan-peserta-bpjs-kesehatan;19 September 2023
BPJS Ketenagakerjaan Jambi menyalurkan Rp6,2 miliar ke warga miskin;https://www.antaranews.com/berita/3733377/bpjs-ketenagakerjaan-jambi-menyalurkan-rp62-miliar-ke-warga-miskin;19 September 2023
BPJS kesehatan Palu gencarkan sosialisasi JKN ke wilayah pedesaan;https://www.antaranews.com/berita/3729582/bpjs-kesehatan-palu-gencarkan-sosialisasi-jkn-ke-wilayah-pedesaan;16 September 2023
BPJS temukan kenaikan kasus demensia dan alzheimer hingga 87 persen;https://www.antaranews.com/berita/3725730/bpjs-temukan-kenaikan-kasus-demensia-dan-alzheimer-hingga-87-persen;13 September 2023
BPJS Kesehatan apresiasi program 'Berkat' Pemprov Sumsel;https://www.antaranews.com/berita/3725472/bpjs-kesehatan-apresiasi-program-berkat-pemprov-sumsel;13 September 2023
BPJS: Pengobatan pasien COVID-19 bergeser ke JKN mulai September 2023;https://www.antaranews.com/berita/3721821/bpjs-pengobatan-pasien-covid-19-bergeser-ke-jkn-mulai-september-2023;11 September 2023
Dirut BPJS: JKN Indonesia jadi contoh banyak negara dunia;https://www.antaranews.com/berita/3720102/dirut-bpjs-jkn-indonesia-jadi-contoh-banyak-negaradunia;10 September 2023
BPJS Ketenagakerjaan beri santunan keluarga korban lift putus di Ubud;https://www.antaranews.com/berita/3711390/bpjs-ketenagakerjaan-beri-santunan-keluarga-korban-lift-putus-di-ubud;4 September 2023
Data peserta BPJS Kesehatan diminta verifikasi ulang di Jaktim;https://www.antaranews.com/berita/3700380/data-peserta-bpjs-kesehatan-diminta-verifikasi-ulang-di-jaktim;28 Agustus 2023
Dirut BPJS sebut kepesertaan JKN Lampung capai 95,31 persen;https://www.antaranews.com/berita/3700056/dirut-bpjs-sebut-kepesertaan-jkn-lampung-capai-9531-persen;28 Agustus 2023
Bobby serahkan kartu BPJS Ketenagakerjaan ke pekerja rentan;https://www.antaranews.com/berita/3686127/bobby-serahkan-kartu-bpjs-ketenagakerjaan-ke-pekerja-rentan;17 Agustus 2023
12 juta peserta BPJS Kesehatan berisiko penyakit kronis;https://www.antaranews.com/berita/3663429/12-juta-peserta-bpjs-kesehatan-berisiko-penyakit-kronis;2 Agustus 2023
Jawab tantangan program JKN, BPJS Kesehatan transformasi mutu layanan;https://www.antaranews.com/berita/3660423/jawab-tantangan-program-jkn-bpjs-kesehatan-transformasi-mutu-layanan;31 Juli 2023
Pemko Pekanbaru dapat penghargaan dari BPJS Kesehatan atas capaian UHC;https://www.antaranews.com/berita/3659865/pemko-pekanbaru-dapat-penghargaan-dari-bpjs-kesehatan-atas-capaian-uhc;31 Juli 2023
70 persen pekerja rentan Kep. Mentawai terdaftar BPJS Ketenagakerjaan;https://www.antaranews.com/video/3656040/70-persen-pekerja-rentan-kep-mentawai-terdaftar-bpjs-ketenagakerjaan;28 Juli 2023
Layanan kesehatan di Puskesmas Oebobo Kupang dipantau BPJS Kesehatan;https://www.antaranews.com/berita/3647361/layanan-kesehatan-di-puskesmas-oebobo-kupang-dipantau-bpjs-kesehatan;22 Juli 2023
Dirut BPJS Kesehatan pastikan layanan di Sumedang penuhi hak peserta;https://www.antaranews.com/berita/3645003/dirut-bpjs-kesehatan-pastikan-layanan-di-sumedang-penuhi-hak-peserta;20 Juli 2023
BPJS Kesehatan Jayapura sebut baru 16 klinik melakukan kerja sama;https://www.antaranews.com/berita/3644976/bpjs-kesehatan-jayapura-sebut-baru-16-klinik-melakukan-kerja-sama;20 Juli 2023
BPJS Kesehatan fasilitasi RS Apung untuk jangkau daerah terpencil;https://www.antaranews.com/berita/3644886/bpjs-kesehatan-fasilitasi-rs-apung-untuk-jangkau-daerah-terpencil;20 Juli 2023
DPRD Kota Bengkulu menganggarkan Rp7,7 miliar program BPJS gratis;https://www.antaranews.com/berita/3644475/dprd-kota-bengkulu-menganggarkan-rp77-miliar-program-bpjs-gratis;20 Juli 2023
BPJS: Kepesertaan Aceh dalam program kesehatan capai 99 persen;https://www.antaranews.com/berita/3642069/bpjs-kepesertaan-aceh-dalam-program-kesehatan-capai-99-persen;19 Juli 2023
Dirut: BPJS Kesehatan tidak diatur dalam UU Kesehatan baru;https://www.antaranews.com/berita/3641637/dirut-bpjs-kesehatan-tidak-diatur-dalam-uu-kesehatan-baru;18 Juli 2023
BPJS Kesehatan sudah bebas dari utang rumah sakit;https://www.antaranews.com/video/3641208/bpjs-kesehatan-sudah-bebas-dari-utang-rumah-sakit;18 Juli 2023
DJSN: Iuran BPJS Kesehatan belum perlu naik sampai pertengahan 2025;https://www.antaranews.com/berita/3641145/djsn-iuran-bpjs-kesehatan-belum-perlu-naik-sampai-pertengahan-2025;18 Juli 2023
BPJS Kesehatan Palangka Raya jamin transparan keuangan;https://www.antaranews.com/berita/3641022/bpjs-kesehatan-palangka-raya-jamin-transparan-keuangan;18 Juli 2023
Pendapatan iuran BPJS Kesehatan Purwokerto tahun 2022 lampaui target;https://www.antaranews.com/berita/3640695/pendapatan-iuran-bpjs-kesehatan-purwokerto-tahun-2022-lampaui-target;18 Juli 2023
BPJS Kesehatan gelontorkan klaim Rp113,47 triliun pada 2022;https://www.antaranews.com/berita/3640431/bpjs-kesehatan-gelontorkan-klaim-rp11347-triliun-pada-2022;18 Juli 2023
Dewas BPJS Kesehatan layani peserta hingga ke Pulau Seram Maluku;https://www.antaranews.com/berita/3637416/dewas-bpjs-kesehatan-layani-peserta-hingga-ke-pulau-seram-maluku;16 Juli 2023
BPJS pastikan layanan kecelakaan kerja bagi pekerja IKN;https://www.antaranews.com/video/3636039/bpjs-pastikan-layanan-kecelakaan-kerja-bagi-pekerja-ikn;14 Juli 2023
Dirut BPJS Kesehatan: JKN sudah penuhi prinsip dasar asuransi sosial;https://www.antaranews.com/berita/3633672/dirut-bpjs-kesehatan-jkn-sudah-penuhi-prinsip-dasar-asuransi-sosial;13 Juli 2023
Marullah Matali berharap pekerja informal gabung BPJS Ketenagakerjaan;https://www.antaranews.com/berita/3623046/marullah-matali-berharap-pekerja-informal-gabung-bpjs-ketenagakerjaan;6 Juli 2023
Pembekalan KKN Unhas gandeng BPJS Ketenagakerjaan;https://www.antaranews.com/berita/3622962/pembekalan-kkn-unhas-gandeng-bpjs-ketenagakerjaan;6 Juli 2023
BPJS Kesehatan: Tiga daerah Sumsel telah meraih predikat UHC;https://www.antaranews.com/berita/3620505/bpjs-kesehatan-tiga-daerah-sumsel-telah-meraih-predikat-uhc;5 Juli 2023
Berawal dari JKPM, Purbalingga raih predikat UHC BPJS Kesehatan;https://www.antaranews.com/berita/3620142/berawal-dari-jkpm-purbalingga-raih-predikat-uhc-bpjs-kesehatan;5 Juli 2023
BPJS tanggung biaya pengobatan COVID-19 di masa endemi;https://www.antaranews.com/video/3619998/bpjs-tanggung-biaya-pengobatan-covid-19-di-masa-endemi;5 Juli 2023
Banyak KIS tak berfungsi, BPJS Kesehatan Palembang beri klarifikasi;https://www.antaranews.com/berita/3619758/banyak-kis-tak-berfungsi-bpjs-kesehatan-palembang-beri-klarifikasi;5 Juli 2023
BPJS Kesehatan tanggung biaya pasien COVID-19 berdasar indikasi medis;https://www.antaranews.com/berita/3616662/bpjs-kesehatan-tanggung-biaya-pasien-covid-19-berdasar-indikasi-medis;3 Juli 2023
Ahli waris terima santunan BPJS Ketenagakerjaan di Job Fair Ternate;https://www.antaranews.com/berita/3609360/ahli-waris-terima-santunan-bpjs-ketenagakerjaan-di-job-fair-ternate;27 Juni 2023
BPJS Kesehatan Bali tekankan pentingnya validasi sidik jari;https://www.antaranews.com/berita/3606804/bpjs-kesehatan-bali-tekankan-pentingnya-validasi-sidik-jari;26 Juni 2023
BPJS Kesehatan Bali bidik peserta tak aktif manfaatkan fasilitas rehab;https://www.antaranews.com/berita/3606675/bpjs-kesehatan-bali-bidik-peserta-tak-aktif-manfaatkan-fasilitas-rehab;26 Juni 2023
BPJS Ketenagakerjaan Makassar masuk desa perluas jangkauan layanan;https://www.antaranews.com/berita/3606132/bpjs-ketenagakerjaan-makassar-masuk-desa-perluas-jangkauan-layanan;26 Juni 2023
BPJS Kesehatan Sorong minta FKTP dan FKRTL tingkatkan layanan;https://www.antaranews.com/berita/3605208/bpjs-kesehatan-sorong-minta-fktp-dan-fkrtl-tingkatkan-layanan;25 Juni 2023
BPJS Kesehatan luncurkan i-Care JKN untuk memudahkan petugas medis;https://www.antaranews.com/berita/3600966/bpjs-kesehatan-luncurkan-i-care-jkn-untuk-memudahkan-petugas-medis;22 Juni 2023
86 ribu pekerja rentan di Tangerang dapat BPJS Ketenagakerjaan;https://www.antaranews.com/berita/3597621/86-ribu-pekerja-rentan-di-tangerang-dapat-bpjs-ketenagakerjaan;20 Juni 2023
BPJS Ketenagakerjaan Purwokerto perluas jaringan PLKK di Purbalingga;https://www.antaranews.com/berita/3597567/bpjs-ketenagakerjaan-purwokerto-perluas-jaringan-plkk-di-purbalingga;20 Juni 2023
Pemkot Palangka Raya-BPJS lindungi 500 guru honorer dari risiko kerja;https://www.antaranews.com/berita/3595542/pemkot-palangka-raya-bpjs-lindungi-500-guru-honorer-dari-risiko-kerja;19 Juni 2023
Peserta BPJS Kesehatan sebut program JKN penolong saat darurat;https://www.antaranews.com/berita/3594516/peserta-bpjs-kesehatan-sebut-program-jkn-penolong-saat-darurat;18 Juni 2023
BPJS Kesehatan gandeng komunitas edukasi program JKN kepada masyarakat;https://www.antaranews.com/berita/3592503/bpjs-kesehatan-gandeng-komunitas-edukasi-program-jkn-kepada-masyarakat;16 Juni 2023
Sinkronkan data kemiskinan, BPJS Kesehatan NTB tetap layani peserta;https://www.antaranews.com/video/3590580/sinkronkan-data-kemiskinan-bpjs-kesehatan-ntb-tetap-layani-peserta;15 Juni 2023
Marbot masjid di Jakarta diharap jadi peserta BPJS Ketenagakerjaan;https://www.antaranews.com/berita/3589581/marbot-masjid-di-jakarta-diharap-jadi-peserta-bpjs-ketenagakerjaan;15 Juni 2023
Warga Semarang sebut layanan BPJS Kesehatan kantor cabang luar biasa;https://www.antaranews.com/berita/3580284/warga-semarang-sebut-layanan-bpjs-kesehatan-kantor-cabang-luar-biasa;9 Juni 2023
BPJS Kesehatan Palembang kembangkan Pesiar pastikan perlindungan JKN;https://www.antaranews.com/berita/3580023/bpjs-kesehatan-palembang-kembangkan-pesiar-pastikan-perlindungan-jkn;9 Juni 2023
BPJS Jakbar minta warga gunakan Mobile JKN permudah akses layanan;https://www.antaranews.com/berita/3558642/bpjs-jakbar-minta-warga-gunakan-mobile-jkn-permudah-akses-layanan;27 Mei 2023
Terapis: Jangan takut, terapi okupasi strok ditanggung BPJS;https://www.antaranews.com/berita/3545979/terapis-jangan-takut-terapi-okupasi-strok-ditanggung-bpjs;19 Mei 2023
BPJS Ketenagakerjaan berikan beasiswa untuk 125 anak di Aceh;https://www.antaranews.com/berita/3534198/bpjs-ketenagakerjaan-berikan-beasiswa-untuk-125-anak-di-aceh;11 Mei 2023
BPJS-LLDikti Wilayah XIII tingkatkan cakupan perlindungan sosial;https://www.antaranews.com/berita/3534126/bpjs-lldikti-wilayah-xiii-tingkatkan-cakupan-perlindungan-sosial;11 Mei 2023
BPJS Kesehatan gencar ajak perusahaan daftarkan pekerja jadi peserta;https://www.antaranews.com/berita/3519411/bpjs-kesehatan-gencar-ajak-perusahaan-daftarkan-pekerja-jadi-peserta;4 Mei 2023
Rumah sakit dengan BPJS di Tarakan bertambah;https://www.antaranews.com/video/3515190/rumah-sakit-dengan-bpjs-di-tarakan-bertambah;1 Mei 2023
Peserta BPJS kesehatan di Rejang Lebong menunggak iuran Rp7,1 miliar;https://www.antaranews.com/berita/3512325/peserta-bpjs-kesehatan-di-rejang-lebong-menunggak-iuran-rp71-miliar;29 April 2023
BPJS Ketenagakerjaan perluas kerja sama dengan Bank Jateng;https://www.antaranews.com/berita/3484893/bpjs-ketenagakerjaan-perluas-kerja-sama-dengan-bank-jateng;12 April 2023
293.661 warga Palangka Raya terlindungi BPJS Kesehatan;https://www.antaranews.com/berita/3472191/293661-warga-palangka-raya-terlindungi-bpjs-kesehatan;4 April 2023
Pemprov Jatim sokong iuran BPJS demi capai cakupan kesehatan semesta;https://www.antaranews.com/berita/3454959/pemprov-jatim-sokong-iuran-bpjs-demi-capai-cakupan-kesehatan-semesta;24 Maret 2023
Jatim siap urun iuran BPJS demi tercapai cakupan kesehatan semesta;https://www.antaranews.com/video/3454662/jatim-siap-urun-iuran-bpjs-demi-tercapai-cakupan-kesehatan-semesta;24 Maret 2023
Isu bocornya data BPJS dan kedaulatan siber Indonesia;https://www.antaranews.com/berita/3447609/isu-bocornya-data-bpjs-dan-kedaulatan-siber-indonesia;18 Maret 2023
BPK minta Direksi BPJS Ketenagakerjaan usulkan ubah aturan program JKP;https://www.antaranews.com/berita/3442947/bpk-minta-direksi-bpjs-ketenagakerjaan-usulkan-ubah-aturan-program-jkp;15 Maret 2023
Dinkes Lampung sebut biaya operasi bayi kembar siam ditanggung BPJS;https://www.antaranews.com/berita/3440712/dinkes-lampung-sebut-biaya-operasi-bayi-kembar-siam-ditanggung-bpjs;14 Maret 2023
Dirut BPJS: Ekosistem JKN-KIS yang kuat dan andal telah terbangun;https://www.antaranews.com/berita/3440523/dirut-bpjs-ekosistem-jkn-kis-yang-kuat-dan-andal-telah-terbangun;14 Maret 2023
Pemprov Kalteng raih penghargaan UHC BPJS Kesehatan;https://www.antaranews.com/berita/3440430/pemprov-kalteng-raih-penghargaan-uhc-bpjs-kesehatan;14 Maret 2023
BPJS Kesehatan ajak pemda pertahankan predikat UHC;https://www.antaranews.com/berita/3439989/bpjs-kesehatan-ajak-pemda-pertahankan-predikat-uhc;14 Maret 2023
Jakbar beri bansos dan peserta BPJS-TK ke 200 karyawan;https://www.antaranews.com/berita/3420339/jakbar-beri-bansos-dan-peserta-bpjs-tk-ke-200-karyawan;1 Maret 2023
BPJS Ketenagakerjaan Kudus jalin kerja sama dengan SMK Taman Siswa;https://www.antaranews.com/berita/3408522/bpjs-ketenagakerjaan-kudus-jalin-kerja-sama-dengan-smk-taman-siswa;22 Februari 2023
BPJS Kesehatan pastikan layanan DPP berjalan baik di Kota Jayapura;https://www.antaranews.com/berita/3401550/bpjs-kesehatan-pastikan-layanan-dpp-berjalan-baik-di-kota-jayapura;17 Februari 2023
BPJS catat biaya layanan diagnosa gagal ginjal Rp22,2 T pada 2014-2022;https://www.antaranews.com/berita/3397425/bpjs-catat-biaya-layanan-diagnosa-gagal-ginjal-rp222-t-pada-2014-2022;15 Februari 2023
Jamkeswatch: Hentikan pembahasan RUU terkait BPJS Kesehatan;https://www.antaranews.com/berita/3387681/jamkeswatch-hentikan-pembahasan-ruu-terkait-bpjs-kesehatan;9 Februari 2023
BPJS: Aparatur 71 desa di Rejang Lebong sudah terdaftar JKN;https://www.antaranews.com/berita/3386739/bpjs-aparatur-71-desa-di-rejang-lebong-sudah-terdaftar-jkn;8 Februari 2023
Jamkeswatch minta BPJS Kesehatan tetap di bawah koordinasi Presiden;https://www.antaranews.com/berita/3385821/jamkeswatch-minta-bpjs-kesehatan-tetap-di-bawah-koordinasi-presiden;8 Februari 2023
BPJS Kesehatan Jambi jalin kerja sama dengan 22 rumah sakit;https://www.antaranews.com/berita/3371769/bpjs-kesehatan-jambi-jalin-kerja-sama-dengan-22-rumah-sakit;30 Januari 2023
BPJS Kesehatan Bandarlampung: Kepesertaan mandiri 388.127 jiwa;https://www.antaranews.com/berita/3361329/bpjs-kesehatan-bandarlampung-kepesertaan-mandiri-388127-jiwa;23 Januari 2023
Upaya BPJS Kesehatan agar seluruh penduduk Sumbar terlindungi JKN;https://www.antaranews.com/video/3358833/upaya-bpjs-kesehatan-agar-seluruh-penduduk-sumbar-terlindungi-jkn;20 Januari 2023
Bangka Tengah: Rp26,8 miliar untuk BPJS Kesehatan warga kurang mampu;https://www.antaranews.com/berita/3354588/bangka-tengah-rp268-miliar-untuk-bpjs-kesehatan-warga-kurang-mampu;18 Januari 2023
BPJS Kesehatan Pamekasan luruskan sistem layanan mitra faskes;https://www.antaranews.com/berita/3351594/bpjs-kesehatan-pamekasan-luruskan-sistem-layanan-mitra-faskes;16 Januari 2023
KSP dorong kepesertaan BPJS Ketenagakerjaan bagi pekerja informal;https://www.antaranews.com/berita/3351255/ksp-dorong-kepesertaan-bpjs-ketenagakerjaan-bagi-pekerja-informal;16 Januari 2023
Pekerja rentan di Jaksel dipastikan dapat BPJS Ketenagakerjaan;https://www.antaranews.com/berita/3346266/pekerja-rentan-di-jaksel-dipastikan-dapat-bpjs-ketenagakerjaan;12 Januari 2023
